route_id,service_id,trip_id,trip_headsign,direction_id,block_id
114-256,JAN17B-JANDA17-Weekday-17,44818046-JAN17B-JANDA17-Weekday-17,"Greenboro",1,5272019
1-256,JAN17B-JANDA17-Weekday-17,44818047-JAN17B-JANDA17-Weekday-17,"Ottawa-Rockcliffe",1,5271688
1-256,JAN17B-JANDA17-Weekday-17,44818048-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271688
290-256,JAN17B-JANDA17-Weekday-17,44818049-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271568
9-256,JAN17B-JANDA17-Weekday-17,44818050-JAN17B-JANDA17-Weekday-17,"Rideau",0,5271690
7-256,JAN17B-JANDA17-Weekday-17,44818051-JAN17B-JANDA17-Weekday-17,"Carleton",0,5271880
7-256,JAN17B-JANDA17-Weekday-17,44818052-JAN17B-JANDA17-Weekday-17,"St-Laurent",1,5271880
7-256,JAN17B-JANDA17-Weekday-17,44818053-JAN17B-JANDA17-Weekday-17,"Carleton",0,5271880
7-256,JAN17B-JANDA17-Weekday-17,44818054-JAN17B-JANDA17-Weekday-17,"St-Laurent",1,5271880
7-256,JAN17B-JANDA17-Weekday-17,44818055-JAN17B-JANDA17-Weekday-17,"Carleton",0,5271880
7-256,JAN17B-JANDA17-Weekday-17,44818056-JAN17B-JANDA17-Weekday-17,"St-Laurent",1,5271880
18-256,JAN17B-JANDA17-Weekday-17,44818057-JAN17B-JANDA17-Weekday-17,"Rideau",1,5272381
18-256,JAN17B-JANDA17-Weekday-17,44818058-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272381
137-256,JAN17B-JANDA17-Weekday-17,44818060-JAN17B-JANDA17-Weekday-17,"Queenswood Hghts",0,5271926
137-256,JAN17B-JANDA17-Weekday-17,44818061-JAN17B-JANDA17-Weekday-17,"Queenswood Hghts",0,5271925
122-256,JAN17B-JANDA17-Weekday-17,44818062-JAN17B-JANDA17-Weekday-17,"Millennium",0,5271528
122-256,JAN17B-JANDA17-Weekday-17,44818063-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271528
135-256,JAN17B-JANDA17-Weekday-17,44818064-JAN17B-JANDA17-Weekday-17,"Esprit",0,5271965
135-256,JAN17B-JANDA17-Weekday-17,44818065-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271965
131-256,JAN17B-JANDA17-Weekday-17,44818066-JAN17B-JANDA17-Weekday-17,"Convent Glen",0,5271965
122-256,JAN17B-JANDA17-Weekday-17,44818067-JAN17B-JANDA17-Weekday-17,"Millennium",0,5271965
122-256,JAN17B-JANDA17-Weekday-17,44818068-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271965
135-256,JAN17B-JANDA17-Weekday-17,44818069-JAN17B-JANDA17-Weekday-17,"Esprit",0,5271965
135-256,JAN17B-JANDA17-Weekday-17,44818070-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271965
137-256,JAN17B-JANDA17-Weekday-17,44818071-JAN17B-JANDA17-Weekday-17,"Queenswood Hghts",0,5271885
33-256,JAN17B-JANDA17-Weekday-17,44818072-JAN17B-JANDA17-Weekday-17,"Portobello",1,5271885
132-256,JAN17B-JANDA17-Weekday-17,44818073-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",0,5271885
131-256,JAN17B-JANDA17-Weekday-17,44818074-JAN17B-JANDA17-Weekday-17,"Convent Glen",0,5272383
136-256,JAN17B-JANDA17-Weekday-17,44818075-JAN17B-JANDA17-Weekday-17,"Tenth Line",0,5271726
136-256,JAN17B-JANDA17-Weekday-17,44818076-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271726
131-256,JAN17B-JANDA17-Weekday-17,44818077-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818078-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818079-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818080-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818081-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818082-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271925
131-256,JAN17B-JANDA17-Weekday-17,44818086-JAN17B-JANDA17-Weekday-17,"Convent Glen",0,5271925
33-256,JAN17B-JANDA17-Weekday-17,44818087-JAN17B-JANDA17-Weekday-17,"Albert / Bank",0,5271593
134-256,JAN17B-JANDA17-Weekday-17,44818088-JAN17B-JANDA17-Weekday-17,"Renaud",0,5271656
134-256,JAN17B-JANDA17-Weekday-17,44818089-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271656
131-256,JAN17B-JANDA17-Weekday-17,44818090-JAN17B-JANDA17-Weekday-17,"Chapel Hill",1,5271656
134-256,JAN17B-JANDA17-Weekday-17,44818091-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271656
122-256,JAN17B-JANDA17-Weekday-17,44818092-JAN17B-JANDA17-Weekday-17,"Millennium",0,5271656
122-256,JAN17B-JANDA17-Weekday-17,44818093-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271656
134-256,JAN17B-JANDA17-Weekday-17,44818094-JAN17B-JANDA17-Weekday-17,"Renaud",0,5271656
134-256,JAN17B-JANDA17-Weekday-17,44818095-JAN17B-JANDA17-Weekday-17,"Place d'Orléans",1,5271656
131-256,JAN17B-JANDA17-Weekday-17,44818096-JAN17B-JANDA17-Weekday-17,"Convent Glen",0,5271656
122-256,JAN17B-JANDA17-Weekday-17,44818097-JAN17B-JANDA17-Weekday-17,"Millennium",0,5271656
134-256,JAN17B-JANDA17-Weekday-17,44818098-JAN17B-JANDA17-Weekday-17,"Renaud",0,5271656
273-256,JAN17B-JANDA17-Weekday-17,44818099-JAN17B-JANDA17-Weekday-17,"Mackenzie King",0,5271593
116-256,JAN17B-JANDA17-Weekday-17,44818100-JAN17B-JANDA17-Weekday-17,"Merivale",1,5272156
170-256,JAN17B-JANDA17-Weekday-17,44818101-JAN17B-JANDA17-Weekday-17,"Fallowfield",0,5271468
170-256,JAN17B-JANDA17-Weekday-17,44818102-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5272156
